ID,C_perc,H_perc,N_perc,O_perc,S_perc
60,25.64,12.38,53.51,8.07,0.4
61,27.07,12.69,49.41,10.83,0.0
62,26.16,12.52,51.9,8.58,0.84
63,29.87,10.82,51.95,6.49,0.87
64,25.83,14.31,51.05,7.59,1.22
65,26.06,13.03,52.71,7.53,0.68
66,27.82,12.62,51.55,7.41,0.6
67,25.3,14.07,52.95,6.89,0.79
68,25.71,8.57,54.29,11.07,0.36
69,26.08,13.2,52.37,7.32,1.03
70,26.27,12.23,53.51,7.99,0.0
71,25.05,12.98,54.84,7.13,0.0
72,26.72,13.23,52.67,7.12,0.25
73,26.58,13.44,53.23,6.46,0.3
74,25.57,14.5,51.53,7.63,0.76
75,26.57,12.92,53.07,7.2,0.25
76,24.55,12.05,53.12,9.38,0.89
77,27.13,13.91,50.55,7.58,0.83
78,27.52,12.48,52.33,7.37,0.3
79,26.16,12.97,51.57,8.43,0.86
80,26.34,14.12,52.29,7.25,0.0
81,25.51,9.72,55.47,9.31,0.0
82,26.23,13.48,52.82,7.04,0.43
83,24.96,14.32,52.32,7.95,0.45
84,26.43,12.05,54.09,7.31,0.12
85,25.55,12.52,53.26,8.29,0.38
86,25.78,12.31,53.89,8.01,0.0
87,24.9,9.49,56.13,9.49,0.0
88,25.8,13.39,53.9,6.7,0.22
89,26.06,13.3,52.12,8.1,0.42
90,26.5,11.9,53.93,7.56,0.1
91,26.26,13.3,50.95,8.6,0.89
92,25.23,9.35,56.54,8.88,0.0
93,28.57,13.15,52.07,5.8,0.41
94,25.07,14.65,52.17,7.28,0.83
95,27.57,12.96,52.61,6.26,0.61
96,26.06,13.63,51.96,6.98,1.36
97,27.36,11.01,53.14,7.97,0.52
98,26.29,12.13,53.67,7.74,0.17
99,27.31,11.66,54.03,6.9,0.1
100,24.75,11.36,53.21,10.46,0.22
101,26.67,13.64,51.47,7.44,0.78
102,24.88,13.67,53.92,7.53,0.0
103,27.34,12.61,53.11,6.15,0.79
104,26.55,14.12,51.74,6.74,0.84
105,25.13,12.85,53.35,7.83,0.85
106,25.3,12.97,53.76,7.69,0.29
107,24.58,11.69,54.3,9.19,0.24
108,25.67,13.73,50.78,8.93,0.89
109,28.33,11.9,50.99,7.93,0.85
110,26.45,10.55,53.82,9.17,0.0
111,26.61,12.47,52.18,7.9,0.83
112,26.19,13.32,51.05,8.55,0.89
113,27.24,12.6,51.63,8.13,0.41
114,26.34,12.76,52.51,7.57,0.82
115,25.94,11.98,53.81,8.14,0.13
116,28.09,11.59,53.18,6.91,0.22
117,31.74,8.19,51.54,8.19,0.34
118,26.96,12.73,52.94,7.14,0.23
119,28.39,9.21,54.22,8.18,0.0
120,27.66,11.74,53.98,6.12,0.5
121,25.99,11.81,55.24,6.78,0.18
122,26.17,12.9,52.19,8.02,0.73
123,25.36,12.43,54.22,7.37,0.62
124,26.03,12.68,52.51,7.88,0.9
125,26.12,12.99,52.6,7.78,0.51
126,26.19,11.74,53.67,8.15,0.25
127,27.25,11.62,54.1,6.93,0.1
128,26.29,13.91,52.41,7.16,0.23
129,26.39,12.99,52.69,7.2,0.74
130,29.27,12.19,52.78,5.47,0.29
131,26.23,12.73,53.65,6.96,0.42
132,25.21,14.45,52.53,7.17,0.63
133,26.86,13.75,51.58,7.57,0.25
134,28.53,13.09,51.05,7.07,0.26
135,25.84,12.53,54.28,7.0,0.35
136,26.6,13.02,52.45,7.74,0.19
137,24.97,10.64,54.14,9.46,0.79
138,25.65,13.01,52.42,8.18,0.74
139,25.41,12.94,51.18,9.53,0.94
140,27.98,8.26,53.21,10.55,0.0
141,25.95,11.74,54.24,7.99,0.07
142,25.86,12.4,53.58,7.79,0.37
143,27.04,13.66,51.57,6.92,0.81
144,26.42,14.7,51.53,7.17,0.17
145,26.11,13.72,51.99,7.52,0.66
146,26.2,11.42,53.67,8.51,0.19
147,25.83,14.46,51.1,7.84,0.77
148,25.55,13.62,52.59,7.6,0.63
149,26.9,13.39,52.62,6.85,0.24
150,28.91,12.24,51.02,6.8,1.02
151,27.93,9.31,53.72,9.04,0.0
152,29.07,11.63,51.16,7.56,0.58
153,25.09,12.66,52.07,9.11,1.07
154,27.15,11.74,53.34,7.12,0.66
155,27.27,13.42,52.48,6.77,0.05
156,27.08,14.39,49.43,8.33,0.76
157,27.65,12.9,52.46,6.89,0.11
158,26.23,13.58,51.7,8.3,0.19
159,25.1,14.39,52.84,7.61,0.06
160,25.98,12.5,54.23,7.29,0.0
161,26.55,11.69,53.83,7.66,0.26
162,27.16,12.12,52.83,7.22,0.68
163,26.96,11.95,51.54,8.87,0.68
164,25.84,13.0,53.47,7.48,0.22
165,25.55,13.42,51.23,8.87,0.93
166,25.51,12.29,52.96,8.69,0.55
167,25.28,12.6,53.47,8.4,0.24
168,25.64,11.22,53.87,8.71,0.56
169,26.36,12.26,53.0,7.77,0.61
170,25.2,9.45,55.12,10.24,0.0
171,24.95,11.16,53.83,9.85,0.22
172,26.15,13.59,51.28,8.21,0.77
173,26.13,13.58,51.36,8.15,0.78
174,27.14,12.27,50.93,8.92,0.74
175,26.24,14.45,52.09,7.22,0.0
176,26.59,12.74,51.37,8.49,0.81
177,27.61,10.77,50.51,11.11,0.0
178,26.09,13.5,52.32,7.89,0.2
179,26.7,12.91,53.33,6.66,0.4
180,26.11,11.91,54.56,7.35,0.07
181,26.02,12.97,52.57,7.98,0.46
182,26.89,13.16,52.46,6.82,0.66
183,25.94,12.8,51.99,8.39,0.88
184,25.8,13.41,53.55,6.74,0.51
185,26.81,12.79,52.73,7.32,0.35
186,25.81,14.29,53.0,6.91,0.0
187,26.46,12.82,51.38,8.51,0.82
188,26.82,11.61,53.96,6.98,0.63
189,26.26,13.35,52.08,6.97,1.34
190,26.45,13.57,51.43,7.77,0.79
191,26.57,12.87,52.91,6.96,0.68
192,27.15,12.58,53.06,7.04,0.17
193,25.59,12.25,53.51,8.27,0.39
194,27.59,11.29,54.55,6.58,0.0
195,26.93,12.37,53.09,7.42,0.19
196,26.01,12.44,53.06,7.88,0.62
197,30.3,8.42,52.19,9.09,0.0
198,25.49,12.08,53.88,8.39,0.16
199,27.1,12.03,52.69,7.59,0.58
200,26.99,12.09,53.22,7.53,0.16
201,26.73,11.95,50.94,9.43,0.94
202,25.93,12.96,52.31,8.33,0.46
203,26.11,12.78,52.82,7.39,0.91
204,27.51,12.72,52.83,6.51,0.43
205,25.46,13.66,52.25,7.82,0.8
206,26.37,13.43,52.81,7.24,0.14
207,28.87,9.97,52.69,8.48,0.0
208,25.97,12.34,53.63,8.06,0.0
209,25.5,12.71,54.07,7.43,0.29
210,26.18,12.96,51.94,8.16,0.76
211,25.48,13.39,51.29,8.87,0.97
212,26.41,11.85,53.48,8.04,0.22
213,26.97,12.75,52.27,7.88,0.13
214,25.03,13.98,53.3,7.18,0.51
215,26.37,13.29,52.29,7.26,0.79
216,24.86,10.72,54.03,10.17,0.22
217,26.48,13.3,52.83,6.77,0.62
218,28.68,9.69,51.94,9.69,0.0
219,24.41,11.23,54.43,9.72,0.22
220,25.8,12.7,53.91,7.36,0.23
221,24.6,9.68,55.65,9.68,0.4
222,27.26,12.37,53.12,6.33,0.93
223,27.94,13.73,50.49,6.86,0.98
224,25.23,11.21,53.27,8.41,1.87
225,26.51,11.98,53.7,7.69,0.11
226,26.01,12.13,54.31,7.29,0.26
227,26.22,11.99,54.02,7.65,0.11
228,26.22,13.22,51.0,8.67,0.89
229,26.42,11.74,52.94,8.24,0.66
230,26.31,13.1,51.75,7.97,0.87
231,26.18,10.73,53.95,9.04,0.09
232,26.65,13.22,50.99,8.26,0.88
233,25.75,11.59,57.08,5.58,0.0
234,26.28,11.97,53.45,8.13,0.17
235,25.16,14.58,51.08,8.21,0.97
236,27.11,13.67,51.95,7.16,0.11
237,25.91,13.06,53.32,6.85,0.86
238,25.85,11.79,53.46,8.83,0.07
239,25.14,12.66,53.49,7.79,0.92
240,26.3,11.96,53.68,7.9,0.16
241,26.67,12.13,53.17,7.31,0.71
242,25.2,14.96,50.66,8.14,1.05
243,25.83,11.53,52.64,9.17,0.83
244,26.09,12.07,53.54,7.92,0.39
245,26.19,10.12,54.76,8.93,0.0
246,26.76,12.77,52.41,7.84,0.22
247,27.03,12.83,53.01,6.97,0.16
248,26.03,12.5,52.98,7.45,1.03
249,25.66,13.35,52.23,7.86,0.9
250,25.87,9.65,55.21,9.27,0.0
251,25.96,12.37,53.14,7.32,1.22
252,26.05,11.79,55.13,7.03,0.0
253,26.86,10.95,53.16,8.47,0.56
254,26.17,13.31,51.01,8.61,0.89
255,27.05,11.93,53.46,6.83,0.73
256,26.09,13.12,53.02,7.62,0.15
257,26.1,12.58,52.82,8.3,0.21
258,24.3,14.84,52.47,7.53,0.86
259,26.89,12.96,52.71,6.77,0.68
260,26.27,13.38,52.15,7.25,0.96
261,25.28,13.57,51.93,8.22,1.0
262,25.94,12.26,54.72,7.08,0.0
263,25.75,13.02,54.65,6.15,0.43
264,27.37,10.03,56.1,6.5,0.0
265,25.85,13.77,51.8,7.98,0.6
266,26.23,13.12,53.07,7.46,0.11
267,25.74,12.06,53.22,8.78,0.2
268,25.73,11.79,54.18,8.08,0.21
269,26.83,8.72,56.19,8.26,0.0
270,26.09,14.01,53.14,6.76,0.0
271,27.26,12.97,50.9,7.88,0.99
272,27.24,9.29,56.04,7.43,0.0
273,26.56,12.3,53.98,7.1,0.06
274,27.91,12.75,51.25,8.01,0.09
275,25.74,13.05,53.86,7.17,0.18
276,27.18,12.42,51.34,8.72,0.34
277,25.8,14.22,51.61,7.34,1.03
278,26.64,13.06,53.46,6.75,0.09
279,27.31,12.61,52.45,7.53,0.09
280,26.55,12.29,52.31,7.96,0.88
281,27.7,12.84,51.35,8.11,0.0
282,26.72,12.53,53.12,7.33,0.31
283,26.07,12.39,53.74,7.61,0.18
284,26.66,11.97,53.31,7.47,0.59
285,27.67,13.42,52.04,6.71,0.17
286,27.81,11.22,53.35,6.87,0.75
287,24.83,10.81,54.47,9.35,0.53
288,26.63,11.97,53.86,7.29,0.26
289,26.56,12.72,52.97,7.33,0.41
290,25.74,13.88,51.48,8.33,0.57
291,26.07,13.03,54.3,6.6,0.0
292,25.9,11.86,53.49,8.61,0.14
293,27.42,12.66,52.26,6.94,0.73
294,25.85,13.14,52.98,7.18,0.85
295,27.01,12.53,53.28,6.5,0.67
296,26.25,12.06,53.51,8.02,0.17
297,25.66,13.57,53.07,6.95,0.74
298,24.57,12.72,52.68,8.91,1.12
299,26.12,13.44,51.47,8.19,0.77
300,27.42,12.02,54.2,6.25,0.11
301,26.67,11.78,53.17,7.83,0.54
302,24.63,11.1,53.49,10.57,0.21
303,26.0,12.69,52.53,8.7,0.09
304,24.72,12.48,53.37,8.45,0.98
305,30.84,12.15,51.4,5.61,0.0
306,26.44,13.16,50.77,8.74,0.88
307,25.0,11.08,54.05,9.19,0.68
308,27.75,11.76,52.69,7.16,0.64
309,25.81,12.74,51.85,8.87,0.73
310,25.22,13.04,53.26,7.83,0.65
311,25.12,12.56,53.9,8.11,0.32
312,25.55,12.17,52.82,9.36,0.1
313,25.9,12.46,53.07,7.69,0.88
314,26.38,12.89,53.44,7.29,0.0
315,27.61,12.24,52.72,7.06,0.37
316,25.43,13.46,53.34,7.27,0.5
317,25.33,12.32,54.19,8.05,0.11
318,25.68,11.63,52.67,9.64,0.37
319,25.69,11.83,54.55,7.94,0.0
320,26.94,12.88,53.06,6.4,0.72
321,26.83,12.09,53.46,7.56,0.06
322,25.74,12.24,53.78,7.94,0.3
323,29.53,8.29,53.89,8.29,0.0
324,25.99,11.85,53.98,7.84,0.34
325,26.48,12.27,52.56,7.87,0.82
326,25.92,13.08,51.34,8.68,0.98
327,26.68,9.62,58.17,4.81,0.72
328,25.12,12.71,54.03,7.98,0.16
329,26.21,13.43,51.53,8.06,0.77
330,26.3,13.38,52.08,7.34,0.91
331,26.17,10.99,53.78,8.72,0.34
332,25.9,12.76,53.85,7.33,0.16
333,32.64,7.44,50.0,9.92,0.0
334,25.2,10.57,55.69,8.54,0.0
335,24.85,12.9,51.95,9.44,0.87
336,26.83,13.76,51.32,7.22,0.88
337,26.56,12.06,54.01,7.13,0.24
338,26.88,11.14,51.09,9.93,0.97
339,25.72,12.71,53.22,8.28,0.06
340,28.68,9.69,51.94,9.69,0.0
341,26.29,11.68,53.72,8.2,0.11
342,25.65,14.14,50.61,8.55,1.05
343,25.21,12.55,54.81,7.06,0.37
344,26.46,12.07,53.31,7.83,0.33
345,26.51,12.83,52.96,7.13,0.57
346,27.3,12.16,53.06,6.67,0.81
347,27.01,12.77,53.38,6.42,0.42
348,25.37,11.94,53.78,8.83,0.07
349,26.67,11.11,57.04,5.19,0.0
350,26.98,13.14,52.25,7.46,0.18
351,26.85,12.0,53.75,7.25,0.15
352,25.34,12.98,52.93,7.8,0.94
353,28.14,10.78,52.99,7.49,0.6
354,25.05,13.67,53.43,7.33,0.52
355,25.9,12.45,53.51,8.13,0.0
356,27.27,13.95,51.18,6.72,0.87
357,26.96,12.37,53.19,6.65,0.83
358,26.03,13.05,52.65,7.95,0.32
359,26.26,13.66,52.33,7.49,0.25
360,24.94,13.0,53.51,8.31,0.23
361,26.94,14.22,51.94,6.9,0.0
362,26.55,12.81,51.65,8.19,0.79
363,26.51,12.95,52.92,7.34,0.28
364,25.92,13.13,52.73,7.34,0.89
365,26.01,12.49,53.06,8.37,0.06
366,26.3,12.82,53.53,6.99,0.36
367,24.9,10.37,56.02,8.71,0.0
368,25.47,13.67,52.45,8.0,0.41
369,26.52,13.15,50.72,8.73,0.88
370,24.95,13.59,54.0,7.45,0.0
371,27.17,12.26,53.01,7.15,0.41
372,25.41,12.55,53.16,8.47,0.41
373,26.02,13.08,52.97,7.66,0.26
374,26.03,12.3,53.38,8.12,0.17
375,25.69,12.13,54.06,7.94,0.18
376,30.95,13.69,48.81,6.55,0.0
377,26.93,13.65,52.6,6.61,0.21
378,27.32,12.63,52.84,6.96,0.26
379,26.92,12.5,51.28,8.65,0.64
380,26.34,13.1,52.28,7.59,0.67
381,26.95,12.28,51.8,8.38,0.6
382,25.87,12.1,54.17,7.72,0.14
383,25.89,9.22,53.9,10.99,0.0
384,26.72,12.21,52.36,7.98,0.73
385,25.26,12.82,52.61,8.36,0.95
386,26.03,11.97,54.67,7.07,0.26
387,26.13,12.71,52.98,7.61,0.57
388,25.47,10.98,54.17,9.09,0.28
389,25.86,13.93,52.11,7.52,0.58
390,28.5,9.16,55.22,7.12,0.0
391,26.28,14.19,52.29,7.23,0.0
392,25.75,12.83,53.32,7.92,0.17
393,25.77,13.89,51.21,8.2,0.92
394,25.74,13.82,52.24,7.34,0.86
395,27.49,12.72,52.6,6.46,0.73
396,26.12,12.58,51.92,8.53,0.85
397,28.28,13.01,51.94,6.34,0.43
398,26.18,13.14,51.0,8.83,0.84
399,26.13,12.36,53.49,7.92,0.1
400,26.33,12.89,51.78,8.11,0.89
401,26.22,12.32,53.41,8.05,0.0
402,26.25,13.35,51.06,8.45,0.89
403,25.71,13.47,52.64,7.28,0.9
404,27.61,12.29,52.68,6.73,0.68
405,28.33,8.87,56.16,6.65,0.0
406,25.85,10.88,55.65,7.49,0.14
407,25.77,13.51,52.54,7.84,0.33
408,24.73,11.29,54.3,9.14,0.54
409,26.01,12.33,53.86,7.73,0.07
410,28.55,12.89,49.47,9.08,0.0
411,26.28,13.03,51.57,8.25,0.87
412,25.55,13.98,51.98,8.1,0.39
413,25.26,12.87,52.16,8.42,1.29
414,25.6,12.1,54.64,7.46,0.2
415,26.44,13.91,51.38,7.36,0.92
416,25.7,13.8,52.3,7.3,0.9
417,26.72,12.49,53.52,6.96,0.3
418,26.69,13.61,52.41,6.97,0.33
419,26.34,13.22,52.59,7.47,0.38
420,24.74,9.34,54.67,10.9,0.35
421,32.44,9.03,51.17,7.36,0.0
422,26.2,13.29,51.52,8.23,0.76
423,26.51,14.33,52.32,6.77,0.07
424,28.41,10.14,54.2,7.25,0.0
425,27.4,13.22,50.32,8.21,0.85
426,26.73,13.73,52.92,6.5,0.12
427,25.6,11.4,53.82,8.5,0.68
428,25.69,11.88,55.58,6.84,0.0
429,27.16,12.48,52.59,7.14,0.63
430,25.77,13.05,53.4,7.39,0.4
431,25.59,12.84,53.89,7.59,0.09
432,24.24,14.49,52.83,7.91,0.53
433,26.67,13.33,51.85,7.62,0.53
434,26.57,11.69,53.22,7.88,0.64
435,26.52,12.75,51.21,8.7,0.81
436,26.6,12.11,53.08,8.09,0.11
437,26.27,13.1,52.47,7.41,0.75
438,29.63,10.37,52.22,7.78,0.0
439,26.67,11.94,51.94,8.89,0.56
440,24.37,8.4,54.62,12.61,0.0
441,26.17,13.28,52.61,7.14,0.79
442,27.38,11.27,53.19,7.7,0.46
443,26.42,11.32,53.1,9.16,0.0
444,25.24,12.35,54.05,7.83,0.54
445,27.21,11.64,53.61,6.9,0.64
446,25.47,13.8,51.84,7.51,1.39
447,26.9,12.23,52.79,7.65,0.44
448,26.69,12.66,52.84,7.28,0.53
449,25.89,13.93,52.18,7.34,0.66
450,28.46,12.24,52.07,6.6,0.64
451,26.12,10.59,54.18,8.74,0.37
452,26.24,12.98,53.53,7.16,0.1
453,26.09,9.06,54.71,10.14,0.0
454,26.25,12.43,51.97,8.5,0.85
455,26.74,12.81,51.23,8.4,0.82
456,26.51,12.74,52.78,7.04,0.94
457,25.77,11.78,54.83,7.23,0.39
458,26.56,13.02,52.67,7.23,0.52
459,26.21,13.35,52.18,7.52,0.73
460,27.56,12.49,52.36,6.96,0.62
461,26.12,13.44,51.47,8.19,0.77
462,25.94,13.67,51.6,7.25,1.53
463,25.78,12.06,53.68,8.35,0.13
464,26.77,13.65,52.12,6.72,0.74
465,26.25,12.51,53.15,7.44,0.65
466,26.33,12.27,53.0,7.79,0.62
467,25.56,12.72,52.01,8.82,0.89
468,26.54,13.11,50.88,8.59,0.88
469,27.26,11.9,52.38,8.45,0.0
470,26.42,11.42,53.58,8.17,0.42
471,25.79,13.26,52.13,7.99,0.82
472,28.9,12.66,51.62,6.82,0.0
473,26.74,10.53,53.39,9.07,0.27
474,27.38,12.55,52.7,6.84,0.53
475,26.45,13.01,50.71,8.96,0.87
476,25.72,12.94,53.12,8.22,0.0
477,26.96,12.97,51.99,6.94,1.14
478,28.83,10.81,51.35,8.11,0.9
479,25.9,13.05,52.62,7.61,0.82
480,27.44,13.06,52.83,5.92,0.74
481,25.28,13.02,52.51,8.68,0.51
482,26.19,13.68,51.35,8.0,0.77
483,26.14,13.43,52.53,7.11,0.79
484,27.24,13.62,50.71,7.62,0.81
485,26.28,12.18,54.81,6.73,0.0
486,26.25,11.93,53.42,8.4,0.0
487,27.42,12.22,53.65,6.31,0.4
488,27.03,12.59,53.35,6.81,0.22
489,27.19,14.15,51.03,6.36,1.27
490,25.41,9.84,56.56,7.38,0.82
491,25.8,13.17,52.83,7.85,0.34
492,25.63,13.35,50.77,9.3,0.95
493,25.53,11.32,53.93,8.64,0.58
494,25.56,12.33,54.06,7.89,0.15
495,26.28,13.81,50.56,8.35,1.0
496,27.13,11.7,52.66,8.51,0.0
497,26.0,13.41,51.69,7.98,0.92
498,26.35,12.49,53.36,7.65,0.14
499,26.69,12.81,53.24,7.05,0.22
500,25.75,11.59,54.08,8.5,0.09
501,26.24,13.77,52.36,7.51,0.12
502,24.6,13.93,53.47,7.47,0.53
503,27.19,12.34,53.43,6.43,0.61
504,25.5,12.84,53.1,7.74,0.82
505,25.2,14.8,50.4,9.2,0.4
506,26.38,12.0,53.94,7.56,0.12
507,25.44,13.54,51.55,8.61,0.87
508,25.31,12.07,53.89,8.57,0.16
509,27.55,12.61,52.71,7.07,0.06
510,31.98,8.11,52.25,7.66,0.0
511,26.37,11.98,54.13,7.52,0.0
512,31.88,8.05,52.01,8.05,0.0
513,27.91,12.16,52.95,6.35,0.63
514,25.08,11.15,54.45,9.11,0.21
515,25.86,8.28,54.83,11.03,0.0
516,26.11,12.1,54.2,7.41,0.19
517,26.82,12.49,52.81,7.71,0.18
518,26.94,12.18,52.71,7.46,0.71
519,26.06,13.39,51.73,7.84,0.98
520,26.33,11.67,54.22,7.46,0.32
521,26.51,10.85,53.7,8.84,0.1
522,26.58,13.06,52.55,6.61,1.2
523,24.77,12.42,54.03,8.72,0.06
524,25.72,12.72,52.83,7.8,0.93
525,26.36,13.37,51.7,7.82,0.76
526,24.64,10.8,54.55,9.75,0.26
527,25.49,12.86,53.37,7.5,0.77
528,25.99,11.61,55.15,6.99,0.26
529,27.59,12.7,52.19,6.64,0.88
530,25.99,12.32,53.63,7.94,0.12
531,25.27,13.1,52.92,8.65,0.06
532,26.18,12.61,51.82,8.55,0.85
533,26.33,11.86,54.32,7.15,0.35
534,26.2,13.29,51.65,8.1,0.76
535,29.07,11.05,51.74,6.98,1.16
536,26.24,12.49,51.96,8.47,0.85
537,25.74,12.77,53.73,7.66,0.1
538,25.93,12.64,53.7,7.66,0.07
539,26.15,14.05,52.86,6.83,0.11
540,25.44,13.49,51.01,9.35,0.71
541,24.54,14.56,52.18,7.68,1.03
542,25.71,13.31,51.79,8.63,0.55
543,24.53,13.81,53.57,7.48,0.61
544,26.68,11.72,53.95,7.07,0.58
545,24.98,12.45,53.49,8.66,0.42
546,25.7,13.9,50.61,8.9,0.89
547,27.98,11.92,50.26,9.84,0.0
548,26.43,10.09,55.11,8.37,0.0
549,25.28,11.44,53.65,9.63,0.0
550,24.18,11.52,54.68,9.62,0.0
551,25.99,12.45,53.73,7.71,0.12
552,25.77,11.56,53.94,8.56,0.17
553,31.07,7.77,51.46,9.71,0.0
554,26.46,13.6,52.78,7.16,0.0
555,26.36,11.74,54.66,7.04,0.2
556,26.84,12.92,53.28,6.46,0.5
557,26.28,13.18,52.86,7.15,0.53
558,27.88,10.19,54.16,7.77,0.0
559,26.97,11.84,53.29,7.89,0.0
560,25.92,12.57,53.34,7.6,0.57
561,26.32,12.67,52.07,7.86,1.08
562,26.58,12.04,54.04,7.11,0.24
563,26.12,12.72,52.72,7.57,0.87
564,25.83,11.83,53.82,8.3,0.22
565,28.28,10.86,52.02,8.84,0.0
566,27.17,12.99,51.18,8.27,0.39
567,27.34,13.09,52.69,6.13,0.75
568,26.52,13.15,51.16,8.29,0.88
569,28.05,12.11,53.03,6.28,0.54
570,24.59,14.16,51.12,8.94,1.19
571,27.23,13.45,50.61,7.72,0.99
572,26.03,11.66,54.29,8.02,0.0
573,25.67,13.08,52.69,7.58,0.98
574,26.02,13.2,53.05,6.85,0.89
575,26.11,13.05,52.21,7.94,0.69
576,24.93,13.94,54.08,7.04,0.0
577,24.73,12.9,52.07,9.82,0.47
578,26.43,12.33,54.19,7.05,0.0
579,26.13,12.51,54.56,6.59,0.22
580,26.99,13.22,52.42,7.31,0.06
581,26.49,13.65,51.62,7.97,0.27
582,27.4,11.75,53.98,6.51,0.36
583,25.0,14.25,53.76,6.99,0.0
584,26.5,11.64,53.32,8.22,0.32
585,28.12,8.98,56.64,6.25,0.0
586,25.99,13.25,52.42,7.82,0.52
587,26.25,12.91,51.63,8.35,0.87
588,26.51,13.38,52.12,7.99,0.0
589,26.56,13.85,52.31,6.77,0.51
590,27.64,12.73,51.91,7.09,0.64
591,27.13,11.28,53.91,7.49,0.19
592,25.72,13.97,52.22,7.44,0.65
593,25.31,12.7,53.06,8.84,0.09
594,25.61,13.98,51.82,7.64,0.95
595,25.0,9.68,55.65,9.68,0.0
596,26.56,13.58,51.9,7.27,0.69
597,26.84,12.53,52.71,7.29,0.62
598,25.8,12.9,54.93,6.3,0.07
599,26.15,8.48,55.12,10.25,0.0
600,27.31,13.44,51.94,6.75,0.56
601,29.13,9.84,50.79,10.24,0.0
602,25.98,11.87,54.05,8.1,0.0
603,25.59,13.21,51.6,8.62,0.97
604,25.76,12.82,53.16,7.87,0.39
605,25.79,13.64,52.49,8.08,0.0
606,25.27,13.52,51.01,9.25,0.95
607,26.6,13.13,50.99,8.39,0.88
608,26.36,13.18,50.91,8.64,0.91
609,26.13,13.58,51.36,8.15,0.78
610,27.07,12.68,52.34,7.05,0.86
611,26.75,11.87,53.45,7.66,0.27
612,25.82,14.07,52.46,7.38,0.27
613,26.09,9.06,54.35,10.51,0.0
614,25.77,11.54,52.69,8.97,1.03
615,26.29,14.01,52.59,7.11,0.0
616,25.67,12.51,52.62,8.56,0.64
617,26.16,13.47,52.44,7.27,0.66
618,26.19,11.73,53.55,8.19,0.34
619,26.9,12.13,52.92,7.8,0.26
620,24.97,10.95,54.05,9.81,0.23
621,26.52,11.55,54.01,7.93,0.0
622,26.4,13.54,52.26,7.8,0.0
623,27.15,12.45,52.93,6.81,0.65
624,26.26,14.06,51.06,7.82,0.8
625,26.54,12.88,53.08,7.1,0.39
626,25.12,13.69,53.69,7.02,0.48
627,27.05,11.99,51.37,8.56,1.03
628,25.34,13.23,53.06,7.37,1.0
629,27.48,12.6,52.39,7.06,0.48
630,26.73,13.14,50.89,8.35,0.89
631,27.08,11.53,55.33,5.94,0.12
632,28.24,11.87,52.83,6.9,0.16
633,25.49,12.25,53.92,8.33,0.0
