ID,Positively charged,Negatively charged,Polarity,Non polarity,Cyclic,Aromaticity,Basicity,Hydrophobicity,Hydrophilicity,Small
121,0.18,0.049,0.066,0.672,0.016,0.049,0.18,0.574,0.23,0.459
122,0.171,0.053,0.316,0.447,0.026,0.092,0.171,0.566,0.211,0.579
123,0.214,0.107,0.214,0.452,0.024,0.024,0.214,0.5,0.25,0.452
124,0.153,0.111,0.222,0.5,0.014,0.083,0.153,0.542,0.181,0.486
125,0.183,0.113,0.324,0.352,0.042,0.099,0.183,0.437,0.254,0.451
126,0.263,0.051,0.242,0.374,0.01,0.091,0.263,0.394,0.343,0.374
127,0.151,0.038,0.132,0.642,0.0,0.113,0.151,0.547,0.189,0.434
128,0.116,0.211,0.147,0.484,0.053,0.053,0.116,0.453,0.211,0.474
129,0.134,0.104,0.224,0.507,0.119,0.075,0.134,0.537,0.284,0.582
130,0.057,0.057,0.302,0.585,0.019,0.264,0.057,0.679,0.075,0.415
131,0.127,0.079,0.238,0.508,0.016,0.079,0.127,0.524,0.19,0.508
132,0.111,0.167,0.278,0.407,0.056,0.019,0.111,0.519,0.204,0.593
133,0.114,0.136,0.182,0.523,0.023,0.091,0.114,0.386,0.182,0.409
134,0.05,0.1,0.25,0.55,0.1,0.2,0.05,0.45,0.2,0.5
135,0.154,0.046,0.138,0.646,0.031,0.046,0.154,0.523,0.2,0.538
136,0.067,0.033,0.2,0.633,0.067,0.1,0.067,0.6,0.2,0.7
137,0.405,0.027,0.162,0.351,0.054,0.0,0.405,0.405,0.514,0.351
138,0.133,0.0,0.467,0.4,0.067,0.067,0.133,0.467,0.2,0.6
139,0.255,0.043,0.383,0.277,0.0,0.085,0.255,0.426,0.298,0.553
140,0.556,0.0,0.0,0.444,0.111,0.222,0.556,0.444,0.667,0.111
141,0.313,0.149,0.164,0.358,0.045,0.045,0.313,0.373,0.373,0.224
142,0.312,0.183,0.172,0.333,0.032,0.054,0.312,0.333,0.344,0.301
143,0.15,0.15,0.333,0.333,0.05,0.133,0.15,0.433,0.233,0.483
144,0.15,0.317,0.15,0.367,0.033,0.067,0.15,0.367,0.2,0.35
145,0.073,0.036,0.255,0.6,0.073,0.091,0.073,0.636,0.182,0.709
146,0.29,0.05,0.2,0.41,0.06,0.08,0.29,0.41,0.4,0.32
147,0.14,0.18,0.28,0.3,0.02,0.08,0.14,0.46,0.26,0.58
148,0.196,0.137,0.373,0.294,0.039,0.059,0.196,0.471,0.235,0.569
149,0.128,0.186,0.186,0.43,0.0,0.105,0.128,0.43,0.198,0.442
150,0.125,0.0,0.375,0.438,0.062,0.25,0.125,0.562,0.25,0.562
151,0.438,0.0,0.125,0.375,0.0,0.188,0.438,0.375,0.5,0.062
152,0.222,0.0,0.222,0.444,0.111,0.222,0.222,0.556,0.444,0.556
153,0.213,0.043,0.298,0.383,0.043,0.064,0.213,0.404,0.319,0.553
154,0.155,0.028,0.296,0.507,0.056,0.141,0.155,0.62,0.225,0.465
155,0.126,0.211,0.189,0.411,0.011,0.137,0.126,0.379,0.2,0.368
156,0.228,0.228,0.316,0.193,0.035,0.105,0.228,0.316,0.298,0.474
157,0.152,0.174,0.196,0.446,0.054,0.152,0.152,0.467,0.239,0.424
158,0.1,0.067,0.2,0.533,0.067,0.1,0.1,0.5,0.267,0.667
159,0.167,0.167,0.133,0.511,0.067,0.011,0.167,0.389,0.256,0.622
160,0.212,0.082,0.212,0.471,0.047,0.047,0.212,0.471,0.282,0.482
161,0.256,0.038,0.179,0.487,0.077,0.077,0.256,0.513,0.372,0.449
162,0.118,0.053,0.224,0.539,0.079,0.118,0.118,0.632,0.263,0.474
163,0.312,0.0,0.25,0.375,0.062,0.125,0.312,0.438,0.438,0.562
164,0.232,0.168,0.158,0.411,0.021,0.063,0.232,0.442,0.284,0.474
165,0.213,0.106,0.277,0.277,0.043,0.064,0.213,0.426,0.383,0.596
166,0.271,0.017,0.237,0.407,0.034,0.051,0.271,0.492,0.373,0.576
167,0.234,0.125,0.172,0.453,0.016,0.031,0.234,0.438,0.266,0.484
168,0.319,0.028,0.236,0.375,0.097,0.042,0.319,0.528,0.458,0.458
169,0.134,0.0,0.28,0.573,0.122,0.098,0.134,0.537,0.268,0.622
170,0.417,0.0,0.0,0.583,0.0,0.0,0.417,0.583,0.417,0.333
171,0.37,0.0,0.174,0.413,0.022,0.043,0.37,0.413,0.435,0.435
172,0.159,0.091,0.273,0.386,0.0,0.114,0.159,0.409,0.25,0.636
173,0.136,0.045,0.318,0.386,0.0,0.114,0.136,0.432,0.25,0.659
174,0.267,0.0,0.267,0.4,0.067,0.133,0.267,0.467,0.4,0.6
175,0.067,0.2,0.067,0.6,0.067,0.067,0.067,0.467,0.2,0.667
176,0.264,0.075,0.283,0.283,0.019,0.113,0.264,0.396,0.377,0.528
177,0.643,0.071,0.143,0.143,0.0,0.143,0.643,0.071,0.643,0.143
178,0.159,0.134,0.22,0.439,0.012,0.073,0.159,0.427,0.22,0.488
179,0.159,0.222,0.143,0.46,0.032,0.079,0.159,0.54,0.206,0.349
180,0.304,0.13,0.145,0.391,0.043,0.058,0.304,0.435,0.377,0.377
181,0.229,0.1,0.214,0.4,0.043,0.071,0.229,0.429,0.329,0.543
182,0.103,0.103,0.259,0.5,0.069,0.069,0.103,0.603,0.207,0.552
183,0.18,0.02,0.34,0.36,0.06,0.08,0.18,0.46,0.34,0.58
184,0.149,0.162,0.189,0.473,0.0,0.054,0.149,0.514,0.176,0.459
185,0.148,0.115,0.131,0.574,0.016,0.082,0.148,0.508,0.197,0.41
186,0.167,0.25,0.083,0.5,0.0,0.0,0.167,0.5,0.167,0.75
187,0.264,0.075,0.264,0.302,0.0,0.113,0.264,0.396,0.358,0.547
188,0.172,0.062,0.234,0.484,0.031,0.094,0.172,0.578,0.25,0.375
189,0.079,0.079,0.368,0.447,0.0,0.132,0.079,0.5,0.105,0.526
190,0.158,0.053,0.421,0.333,0.035,0.14,0.158,0.439,0.228,0.614
191,0.125,0.097,0.25,0.514,0.056,0.097,0.125,0.597,0.194,0.583
192,0.164,0.18,0.098,0.508,0.033,0.115,0.164,0.508,0.246,0.328
193,0.312,0.094,0.25,0.25,0.016,0.047,0.312,0.391,0.422,0.391
194,0.2,0.133,0.133,0.533,0.0,0.133,0.2,0.533,0.2,0.2
195,0.212,0.096,0.269,0.365,0.038,0.115,0.212,0.442,0.308,0.365
196,0.24,0.08,0.32,0.32,0.04,0.08,0.24,0.44,0.32,0.48
197,0.333,0.0,0.083,0.583,0.0,0.333,0.333,0.583,0.333,0.083
198,0.281,0.031,0.266,0.328,0.016,0.047,0.281,0.422,0.391,0.453
199,0.256,0.116,0.233,0.372,0.023,0.116,0.256,0.512,0.302,0.395
200,0.204,0.075,0.172,0.505,0.043,0.108,0.204,0.473,0.29,0.409
201,0.294,0.059,0.294,0.353,0.059,0.118,0.294,0.529,0.353,0.471
202,0.167,0.0,0.417,0.417,0.083,0.083,0.167,0.417,0.25,0.583
203,0.133,0.067,0.256,0.489,0.044,0.067,0.133,0.589,0.233,0.522
204,0.133,0.157,0.253,0.458,0.036,0.133,0.133,0.554,0.169,0.398
205,0.14,0.047,0.419,0.372,0.0,0.093,0.14,0.488,0.163,0.628
206,0.164,0.151,0.233,0.37,0.0,0.082,0.164,0.438,0.247,0.411
207,0.233,0.0,0.0,0.744,0.465,0.163,0.233,0.721,0.721,0.535
208,0.137,0.059,0.275,0.49,0.0,0.039,0.137,0.471,0.176,0.314
209,0.23,0.108,0.203,0.419,0.041,0.014,0.23,0.486,0.311,0.473
210,0.182,0.061,0.318,0.424,0.03,0.091,0.182,0.545,0.227,0.561
211,0.167,0.0,0.361,0.361,0.056,0.083,0.167,0.333,0.333,0.639
212,0.266,0.053,0.128,0.468,0.043,0.053,0.266,0.468,0.394,0.404
213,0.175,0.125,0.238,0.438,0.05,0.112,0.175,0.475,0.25,0.475
214,0.086,0.022,0.323,0.484,0.075,0.032,0.086,0.581,0.247,0.731
215,0.107,0.095,0.298,0.464,0.036,0.095,0.107,0.571,0.179,0.571
216,0.455,0.0,0.159,0.341,0.023,0.045,0.455,0.318,0.523,0.386
217,0.119,0.143,0.143,0.452,0.024,0.071,0.119,0.452,0.286,0.429
218,0.583,0.0,0.083,0.333,0.0,0.25,0.583,0.25,0.583,0.167
219,0.391,0.022,0.217,0.37,0.022,0.022,0.391,0.435,0.413,0.457
220,0.174,0.098,0.174,0.543,0.011,0.065,0.174,0.446,0.196,0.5
221,0.333,0.0,0.083,0.583,0.0,0.0,0.333,0.667,0.333,0.417
222,0.105,0.088,0.228,0.544,0.053,0.123,0.105,0.649,0.193,0.509
223,0.0,0.091,0.364,0.364,0.0,0.182,0.0,0.636,0.182,0.636
224,0.333,0.0,0.333,0.333,0.0,0.0,0.333,0.667,0.333,0.5
225,0.227,0.102,0.17,0.455,0.045,0.091,0.227,0.455,0.318,0.386
226,0.175,0.032,0.111,0.667,0.032,0.048,0.175,0.571,0.222,0.54
227,0.273,0.091,0.148,0.398,0.011,0.068,0.273,0.42,0.375,0.341
228,0.24,0.06,0.32,0.28,0.0,0.1,0.24,0.42,0.34,0.58
229,0.259,0.056,0.259,0.426,0.056,0.13,0.259,0.407,0.315,0.407
230,0.157,0.039,0.333,0.373,0.059,0.098,0.157,0.471,0.314,0.588
231,0.373,0.0,0.176,0.392,0.02,0.078,0.373,0.431,0.451,0.333
232,0.22,0.08,0.3,0.3,0.0,0.12,0.22,0.42,0.32,0.56
233,0.083,0.0,0.25,0.667,0.0,0.0,0.083,0.667,0.083,0.333
234,0.261,0.076,0.12,0.478,0.043,0.054,0.261,0.478,0.37,0.435
235,0.13,0.093,0.37,0.315,0.056,0.074,0.13,0.426,0.278,0.704
236,0.158,0.2,0.242,0.368,0.032,0.116,0.158,0.358,0.221,0.368
237,0.137,0.098,0.333,0.412,0.0,0.059,0.137,0.549,0.157,0.49
238,0.343,0.129,0.114,0.386,0.043,0.071,0.343,0.429,0.414,0.4
239,0.198,0.062,0.281,0.427,0.052,0.031,0.198,0.521,0.281,0.562
240,0.278,0.133,0.156,0.4,0.022,0.056,0.278,0.422,0.333,0.311
241,0.172,0.069,0.224,0.448,0.017,0.103,0.172,0.603,0.276,0.483
242,0.043,0.043,0.478,0.348,0.043,0.087,0.043,0.391,0.174,0.652
243,0.237,0.0,0.289,0.421,0.079,0.079,0.237,0.553,0.368,0.553
244,0.321,0.09,0.244,0.333,0.026,0.09,0.321,0.385,0.359,0.423
245,0.353,0.0,0.0,0.647,0.059,0.059,0.353,0.529,0.412,0.412
246,0.167,0.062,0.229,0.479,0.0,0.146,0.167,0.396,0.229,0.562
247,0.173,0.133,0.194,0.439,0.02,0.112,0.173,0.469,0.255,0.398
248,0.213,0.043,0.404,0.34,0.064,0.085,0.213,0.511,0.277,0.489
249,0.169,0.091,0.377,0.273,0.039,0.065,0.169,0.468,0.299,0.545
250,0.333,0.0,0.083,0.583,0.0,0.083,0.333,0.583,0.333,0.333
251,0.161,0.065,0.355,0.419,0.097,0.065,0.161,0.645,0.258,0.581
252,0.179,0.036,0.071,0.643,0.036,0.036,0.179,0.536,0.286,0.536
253,0.306,0.048,0.145,0.468,0.081,0.129,0.306,0.484,0.419,0.403
254,0.24,0.06,0.34,0.28,0.0,0.1,0.24,0.4,0.32,0.58
255,0.175,0.07,0.228,0.491,0.07,0.105,0.175,0.614,0.281,0.561
256,0.25,0.147,0.25,0.324,0.0,0.074,0.25,0.397,0.279,0.412
257,0.286,0.122,0.153,0.367,0.01,0.082,0.286,0.337,0.367,0.388
258,0.033,0.0,0.433,0.533,0.067,0.033,0.033,0.5,0.1,0.767
259,0.109,0.127,0.218,0.491,0.036,0.091,0.109,0.564,0.2,0.491
260,0.118,0.132,0.265,0.412,0.029,0.088,0.118,0.559,0.221,0.515
261,0.2,0.089,0.4,0.289,0.0,0.067,0.2,0.467,0.222,0.622
262,0.083,0.0,0.167,0.75,0.0,0.083,0.083,0.75,0.083,0.667
263,0.104,0.117,0.208,0.571,0.026,0.026,0.104,0.61,0.13,0.545
264,0.278,0.0,0.056,0.667,0.0,0.111,0.278,0.611,0.278,0.333
265,0.182,0.073,0.382,0.273,0.036,0.109,0.182,0.455,0.309,0.655
266,0.194,0.143,0.143,0.51,0.02,0.082,0.194,0.357,0.224,0.449
267,0.26,0.078,0.13,0.468,0.026,0.052,0.26,0.481,0.351,0.468
268,0.286,0.043,0.257,0.371,0.014,0.043,0.286,0.457,0.343,0.4
269,0.526,0.0,0.0,0.474,0.0,0.105,0.526,0.421,0.526,0.105
270,0.182,0.273,0.091,0.455,0.0,0.0,0.182,0.455,0.182,0.636
271,0.182,0.061,0.424,0.303,0.061,0.182,0.182,0.515,0.273,0.606
272,0.5,0.0,0.071,0.357,0.0,0.143,0.5,0.357,0.571,0.071
273,0.23,0.057,0.287,0.379,0.023,0.115,0.23,0.414,0.299,0.46
274,0.207,0.172,0.19,0.414,0.0,0.121,0.207,0.379,0.224,0.241
275,0.094,0.031,0.125,0.719,0.0,0.062,0.094,0.469,0.125,0.562
276,0.312,0.062,0.188,0.375,0.062,0.125,0.312,0.375,0.438,0.5
277,0.1,0.1,0.38,0.36,0.08,0.08,0.1,0.48,0.24,0.66
278,0.085,0.136,0.203,0.559,0.034,0.085,0.085,0.559,0.136,0.441
279,0.211,0.07,0.175,0.421,0.0,0.158,0.211,0.316,0.333,0.404
280,0.164,0.018,0.309,0.455,0.091,0.091,0.164,0.527,0.309,0.509
281,0.133,0.0,0.467,0.333,0.067,0.2,0.133,0.533,0.267,0.533
282,0.204,0.112,0.173,0.449,0.051,0.082,0.204,0.469,0.316,0.408
283,0.241,0.133,0.169,0.434,0.024,0.048,0.241,0.482,0.289,0.458
284,0.283,0.083,0.233,0.383,0.05,0.117,0.283,0.4,0.35,0.383
285,0.132,0.176,0.275,0.363,0.011,0.165,0.132,0.451,0.198,0.385
286,0.15,0.033,0.233,0.55,0.083,0.15,0.15,0.633,0.267,0.4
287,0.351,0.027,0.189,0.405,0.054,0.0,0.351,0.432,0.432,0.351
288,0.175,0.032,0.079,0.667,0.016,0.095,0.175,0.54,0.238,0.444
289,0.213,0.107,0.28,0.36,0.027,0.093,0.213,0.427,0.28,0.427
290,0.224,0.086,0.362,0.259,0.017,0.052,0.224,0.345,0.31,0.552
291,0.086,0.043,0.2,0.643,0.0,0.071,0.086,0.614,0.114,0.614
292,0.324,0.127,0.113,0.423,0.042,0.07,0.324,0.437,0.38,0.408
293,0.119,0.045,0.284,0.493,0.104,0.149,0.119,0.537,0.284,0.567
294,0.167,0.078,0.356,0.367,0.056,0.078,0.167,0.478,0.256,0.567
295,0.103,0.077,0.282,0.5,0.077,0.103,0.103,0.628,0.218,0.474
296,0.272,0.076,0.152,0.467,0.043,0.054,0.272,0.478,0.348,0.446
297,0.148,0.148,0.247,0.42,0.049,0.049,0.148,0.543,0.235,0.506
298,0.212,0.0,0.348,0.379,0.076,0.03,0.212,0.53,0.348,0.667
299,0.159,0.068,0.295,0.386,0.0,0.114,0.159,0.432,0.25,0.636
300,0.103,0.062,0.155,0.66,0.01,0.134,0.103,0.629,0.134,0.485
301,0.224,0.059,0.2,0.447,0.071,0.094,0.224,0.553,0.365,0.471
302,0.404,0.0,0.191,0.362,0.021,0.043,0.404,0.362,0.468,0.426
303,0.328,0.086,0.276,0.293,0.034,0.086,0.328,0.379,0.379,0.517
304,0.222,0.0,0.378,0.333,0.044,0.044,0.222,0.489,0.333,0.6
305,0.0,0.0,0.167,0.833,0.167,0.333,0.0,0.5,0.167,0.5
306,0.22,0.06,0.32,0.3,0.0,0.12,0.22,0.4,0.32,0.58
307,0.378,0.054,0.162,0.378,0.054,0.0,0.378,0.405,0.459,0.432
308,0.225,0.075,0.25,0.45,0.1,0.15,0.225,0.575,0.325,0.475
309,0.2,0.046,0.385,0.292,0.046,0.062,0.2,0.431,0.323,0.462
310,0.245,0.061,0.306,0.286,0.0,0.041,0.245,0.449,0.347,0.531
311,0.2,0.123,0.169,0.477,0.015,0.015,0.2,0.477,0.246,0.477
312,0.367,0.122,0.143,0.286,0.02,0.041,0.367,0.327,0.469,0.429
313,0.204,0.056,0.37,0.333,0.037,0.074,0.204,0.463,0.278,0.463
314,0.2,0.133,0.167,0.4,0.033,0.083,0.2,0.4,0.333,0.4
315,0.173,0.086,0.235,0.432,0.025,0.148,0.173,0.531,0.272,0.432
316,0.132,0.103,0.206,0.529,0.029,0.029,0.132,0.5,0.191,0.559
317,0.286,0.071,0.214,0.418,0.051,0.041,0.286,0.408,0.347,0.49
318,0.329,0.012,0.268,0.341,0.024,0.085,0.329,0.415,0.402,0.476
319,0.289,0.026,0.079,0.579,0.026,0.026,0.289,0.421,0.342,0.5
320,0.102,0.085,0.288,0.458,0.051,0.119,0.102,0.542,0.22,0.542
321,0.299,0.195,0.104,0.403,0.013,0.104,0.299,0.377,0.312,0.286
322,0.194,0.028,0.25,0.514,0.042,0.069,0.194,0.514,0.25,0.528
323,0.25,0.0,0.0,0.75,0.0,0.25,0.25,0.75,0.25,0.125
324,0.272,0.065,0.163,0.5,0.054,0.076,0.272,0.478,0.326,0.489
325,0.216,0.118,0.255,0.392,0.176,0.078,0.216,0.49,0.412,0.51
326,0.222,0.111,0.311,0.333,0.0,0.089,0.222,0.444,0.244,0.511
327,0.0,0.0,0.15,0.85,0.0,0.0,0.0,1.0,0.0,0.15
328,0.209,0.134,0.164,0.478,0.03,0.015,0.209,0.507,0.254,0.507
329,0.136,0.045,0.318,0.386,0.0,0.114,0.136,0.432,0.25,0.636
330,0.106,0.094,0.282,0.459,0.071,0.082,0.106,0.541,0.235,0.576
